20
gol,volkswagen,2019,57980.15,102780
palio,fiat,2004,8500.90,205890
onix,chevrolet,2013,35980.25,104678
uno,fiat,2008,22005.45,232768
ka,ford,2020,50980.35,31607
strada,fiat,2021,93807.65,18479
logan,renault,2017,48970.15,10796
siena,fiat,2011,20670.19,156790
mobi,fiat,2022,61780.45,3356
palio fire,fiat,2014,34970.54,154690
onix,chevrolet,2015,54788.55,17531
onix,chevrolet,2016,58900.99,98723
logan,renault,2018,68476.54,96848
logan,renault,2018,97894.67,23858
mobi,fiat,2021,98556.98,13565
mobi,fiat,2019,46586.46,64495
mobi,fiat,2018,23645.16,120563
ka,ford,2019,16546.13,130564
strada,fiat,2020,65489.30,16445
strada,fiat,2019,54056.20,65564
