DADOS_DECRESCENTES
NUM;BS_ITER;MS_ITER;BASELINE
500;52;3;2
1000;206;6;4
1500;507;11;6
2000;802;11;5
2500;1031;13;8
3000;1477;16;10
3500;1960;21;11
4000;2568;19;19
4500;3216;24;17
5000;3953;28;19

DADOS_CRESCENTES
NUM;BS_ITER;MS_ITER;BASELINE
500;0;2;1
1000;0;4;2
1500;1;7;7
2000;1;9;7
2500;0;21;13
3000;0;16;12
3500;0;22;12
4000;1;23;13
4500;0;33;17
5000;1;28;13

DADOS_ALEATÓRIOS
NUM;BS_ITER;MS_ITER;BASELINE
500;40;4;2
1000;145;6;5
1500;280;7;6
2000;473;10;8
2500;747;15;12
3000;1050;16;12
3500;1395;18;16
4000;1832;21;23
4500;2806;31;25
5000;3426;31;28
