DADOS_DECRESCENTES;;;;;;;;
NUM;BS_REC;QS_REC;QS_RAND;MS_REC;MS_RAND;SS_REC;SS_RAND;BASELINE
100;2;2;0;2;3;4;17;0
200;13;11;1;4;3;9;43;1
300;19;15;3;5;4;19;87;0
400;27;36;1;2;3;34;150;1
500;46;46;2;3;2;48;214;1
600;62;55;4;4;6;62;299;1
700;86;64;3;3;4;82;418;3
800;102;81;8;6;8;100;528;2
900;145;103;4;4;6;151;664;2
1000;176;135;6;4;6;178;839;2
;;;;;;;;
DADOS_CRESCENTES;;;;;;;;
NUM;BS_REC;QS_REC;QS_RAND;MS_REC;MS_RAND;SS_REC;SS_RAND;BASELINE
100;1;2;1;0;1;1;10;0
200;4;17;3;1;2;8;50;0
300;9;25;2;2;1;20;88;1
400;13;62;2;1;2;30;133;0
500;20;74;2;3;3;37;209;1
600;25;98;3;2;3;61;294;1
700;36;124;3;3;4;81;415;1
800;48;151;5;3;4;109;517;1
900;60;185;4;3;5;145;682;2
1000;94;210;5;5;8;175;827;2
;;;;;;;;
DADOS_ALEATÓRIOS;;;;;;;;
NUM;BS_REC;QS_REC;QS_RAND;MS_REC;MS_RAND;SS_REC;SS_RAND;BASELINE
100;1;1;0;0;1;1;16;0
200;9;1;2;1;4;9;55;1
300;12;2;2;3;1;24;79;1
400;23;2;2;2;2;38;149;3
500;36;1;3;3;10;54;208;1
600;91;5;6;4;5;61;302;2
700;83;4;4;3;6;92;416;2
800;98;3;5;3;6;108;538;3
900;115;3;4;4;7;146;694;4
1000;139;4;5;4;9;171;874;4
