title,authors,url,citations,abstract
An Investigation into the Cybersecurity Skills Gap in South Africa,"M De Jager, L Futcher, KL Thomson - International Symposium on Human …, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-38530-8_19,"[{'title': 'MLA', 'content': 'De Jager, Michael, Lynn Futcher, and Kerry-Lynn Thomson. ""An Investigation into the Cybersecurity Skills Gap in South Africa.""International Symposium on Human Aspects of Information Security and Assurance. Cham: Springer Nature Switzerland, 2023.'}, {'title': 'APA', 'content': 'De Jager, M., Futcher, L., & Thomson, K. L. (2023, July). An Investigation into the Cybersecurity Skills Gap in South Africa. InInternational Symposium on Human Aspects of Information Security and Assurance(pp. 237-248). Cham: Springer Nature Switzerland.'}, {'title': 'Chicago', 'content': 'De Jager, Michael, Lynn Futcher, and Kerry-Lynn Thomson. ""An Investigation into the Cybersecurity Skills Gap in South Africa."" InInternational Symposium on Human Aspects of Information Security and Assurance, pp. 237-248. Cham: Springer Nature Switzerland, 2023.'}, {'title': 'Harvard', 'content': 'De Jager, M., Futcher, L. and Thomson, K.L., 2023, July. An Investigation into the Cybersecurity Skills Gap in South Africa. InInternational Symposium on Human Aspects of Information Security and Assurance(pp. 237-248). Cham: Springer Nature Switzerland.'}, {'title': 'Vancouver', 'content': 'De Jager M, Futcher L, Thomson KL. An Investigation into the Cybersecurity Skills Gap in South Africa. InInternational Symposium on Human Aspects of Information Security and Assurance 2023 Jul 4 (pp. 237-248). Cham: Springer Nature Switzerland.'}]","… , and challenges of IT professionals in South Africa by reporting on IT professionals’ 
perceptions in this regard. An online questionnaire, distributed to IT professionals using various …"
Towards a Cybersecurity Skills Framework for South Africa,M Kruger - 2023 - vital.seals.ac.za,http://vital.seals.ac.za:8080/vital/access/manager/Repository/vital:69793,"[{'title': 'MLA', 'content': 'Kruger, M. ""Towards a Cybersecurity Skills Framework for South Africa."" (2023).'}, {'title': 'NBR 6023', 'content': 'KRUGER, M. Towards a Cybersecurity Skills Framework for South Africa. 2023.'}, {'title': 'APA', 'content': 'Kruger, M. (2023). Towards a Cybersecurity Skills Framework for South Africa.'}]","… IT professionals to assist in protecting against cybercrime. Currently, there is a worldwide 
cybersecurity skills gap and a lack of IT professionals with … ) required of IT professionals as they …"
"Examining the influence of occupational characteristics, gender and work-life balance on IT professionals' occupational satisfaction and occupational commitment","DK Young, AJ McLeod, D Carpenter - Information Technology & …, 2023 - emerald.com",https://www.emerald.com/insight/content/doi/10.1108/ITP-08-2020-0572/full/html,"[{'title': 'MLA', 'content': 'Young, Diana K., Alexander J. McLeod, and Darrell Carpenter. ""Examining the influence of occupational characteristics, gender and work-life balance on IT professionals\' occupational satisfaction and occupational commitment.""Information Technology & People36.3 (2023): 1270-1297.'}, {'title': 'APA', 'content': ""Young, D. K., McLeod, A. J., & Carpenter, D. (2023). Examining the influence of occupational characteristics, gender and work-life balance on IT professionals' occupational satisfaction and occupational commitment.Information Technology & People,36(3), 1270-1297.""}, {'title': 'Chicago', 'content': 'Young, Diana K., Alexander J. McLeod, and Darrell Carpenter. ""Examining the influence of occupational characteristics, gender and work-life balance on IT professionals\' occupational satisfaction and occupational commitment.""Information Technology & People36, no. 3 (2023): 1270-1297.'}, {'title': 'Harvard', 'content': ""Young, D.K., McLeod, A.J. and Carpenter, D., 2023. Examining the influence of occupational characteristics, gender and work-life balance on IT professionals' occupational satisfaction and occupational commitment.Information Technology & People,36(3), pp.1270-1297.""}, {'title': 'Vancouver', 'content': ""Young DK, McLeod AJ, Carpenter D. Examining the influence of occupational characteristics, gender and work-life balance on IT professionals' occupational satisfaction and occupational commitment. Information Technology & People. 2023 Apr 11;36(3):1270-97.""}]","… skills gap, this research paper aims to examine the influence of occupational characteristics, 
gender and work-life balance on IT professionals’ … the focus on IT professionals’ satisfaction …"
Bridging the cyber skills gap,"P Caron - Network Security, 2023 - magonlinelibrary.com",https://www.magonlinelibrary.com/doi/pdf/10.12968/S1353-4858%2823%2970029-9,"[{'title': 'MLA', 'content': 'Caron, Paul. ""Bridging the cyber skills gap.""Network Security2023.7 (2023).'}, {'title': 'APA', 'content': 'Caron, P. (2023). Bridging the cyber skills gap.Network Security,2023(7).'}, {'title': 'Chicago', 'content': 'Caron, Paul. ""Bridging the cyber skills gap.""Network Security2023, no. 7 (2023).'}, {'title': 'Harvard', 'content': 'Caron, P., 2023. Bridging the cyber skills gap.Network Security,2023(7).'}, {'title': 'Vancouver', 'content': 'Caron P. Bridging the cyber skills gap. Network Security. 2023 Jul;2023(7).'}]","… By mixing the passive knowledge base of education and the active testing and improvements 
of regular training, security and IT professionals will quickly see the skills gap begin to …"
A New Way to Tackle the Skills Gap,"M Cooper - ITNOW, 2023 - academic.oup.com",https://academic.oup.com/itnow/article-abstract/65/2/32/7167322,"[{'title': 'MLA', 'content': 'Cooper, Martin. ""A New Way to Tackle the Skills Gap.""ITNOW65.2 (2023): 32-33.'}, {'title': 'APA', 'content': 'Cooper, M. (2023). A New Way to Tackle the Skills Gap.ITNOW,65(2), 32-33.'}, {'title': 'ISO 690', 'content': 'COOPER, Martin. A New Way to Tackle the Skills Gap.ITNOW, 2023, 65. Jg., Nr. 2, S. 32-33.'}]","… Based in Bletchley, a town which needs no introduction to IT professionals, the South Central 
Institute of Technology provides higher level technical qualifications, apprenticeships and …"
CLOSING THE WORKFORCE SKILLS GAP,"M Hernandez, W Thompson, B Zoghi - INTED2024 Proceedings, 2024 - library.iated.org",https://library.iated.org/view/HERNANDEZ2024CLO,"[{'title': 'APA', 'content': 'Hernandez, M., Thompson, W., & Zoghi, B. (2024). CLOSING THE WORKFORCE SKILLS GAP. InINTED2024 Proceedings(pp. 5153-5161). IATED.'}, {'title': 'ISO 690', 'content': 'HERNANDEZ, M.; THOMPSON, W.; ZOGHI, B. CLOSING THE WORKFORCE SKILLS GAP. EnINTED2024 Proceedings. IATED, 2024. p. 5153-5161.'}, {'title': 'MLA', 'content': 'Hernandez, M., W. Thompson, and B. Zoghi. ""CLOSING THE WORKFORCE SKILLS GAP.""INTED2024 Proceedings. IATED, 2024.'}]","… Of the 598 participants, 269 were IT professionals working in five different IT companies, 
and 329 were students pursuing degrees in IT or Computer Sciences from 12 various technical …"
Future Skill Needs for IT Professionals—an Empirical Study,"M Brunner, UD Ehlers - Creating the University of the Future: A Global …, 2024 - Springer",https://link.springer.com/chapter/10.1007/978-3-658-42948-5_29,"[{'title': 'MLA', 'content': 'Brunner, Marina, and Ulf-Daniel Ehlers. ""Future Skill Needs for IT Professionals—an Empirical Study.""Creating the University of the Future: A Global View on Future Skills and Future Higher Education. Wiesbaden: Springer Fachmedien Wiesbaden, 2024. 569-587.'}, {'title': 'NBR 6023', 'content': 'BRUNNER, Marina; EHLERS, Ulf-Daniel. Future Skill Needs for IT Professionals—an Empirical Study. In:Creating the University of the Future: A Global View on Future Skills and Future Higher Education. Wiesbaden: Springer Fachmedien Wiesbaden, 2024. p. 569-587.'}, {'title': 'APA', 'content': 'Brunner, M., & Ehlers, U. D. (2024). Future Skill Needs for IT Professionals—an Empirical Study. InCreating the University of the Future: A Global View on Future Skills and Future Higher Education(pp. 569-587). Wiesbaden: Springer Fachmedien Wiesbaden.'}]","… The multi-method and multi-stakeholder approach in skill research in very dynamic fields 
of work, such as blockchain, provides a good information base for closing the skills gap. …"
[PDF][PDF] Impact of COVID-19 pandemic on the information technology (IT) workforce: A review of the literature,N Akuta - 2023 - comp.mga.edu,https://comp.mga.edu/static/media/doctoralpapers/2023_Akuta_0516152106.pdf,"[{'title': 'MLA', 'content': 'Akuta, Ndidi.Impact of COVID-19 pandemic on the information technology (IT) workforce: A review of the literature. Diss. Georgia State University, 2023.'}, {'title': 'APA', 'content': 'Akuta, N. (2023).Impact of COVID-19 pandemic on the information technology (IT) workforce: A review of the literature(Doctoral dissertation, Georgia State University).'}, {'title': 'ISO 690', 'content': 'AKUTA, Ndidi.Impact of COVID-19 pandemic on the information technology (IT) workforce: A review of the literature. 2023. Doktorarbeit. Georgia State University.'}]","… of skilled IT professionals, as the demand for their expertise has risen significantly. This 
situation has given IT professionals … to address the skills gap in this area to remain competitive. …"
[PDF][PDF] Academic Community and Practitioner Perceptions on Information Technology Competencies: A Gap Analysis,"CLS Tablatin - WSEAS Transactions on Information Science and …, 2023 - wseas.com",https://wseas.com/journals/isa/2023/a725109-1064.pdf,"[{'title': 'MLA', 'content': 'Tablatin, Christine Lourrine S. ""Academic Community and Practitioner Perceptions on Information Technology Competencies: A Gap Analysis.""WSEAS Transactions on Information Science and Applications20 (2023): 333-343.'}, {'title': 'APA', 'content': 'Tablatin, C. L. S. (2023). Academic Community and Practitioner Perceptions on Information Technology Competencies: A Gap Analysis.WSEAS Transactions on Information Science and Applications,20, 333-343.'}, {'title': 'Chicago', 'content': 'Tablatin, Christine Lourrine S. ""Academic Community and Practitioner Perceptions on Information Technology Competencies: A Gap Analysis.""WSEAS Transactions on Information Science and Applications20 (2023): 333-343.'}, {'title': 'Harvard', 'content': 'Tablatin, C.L.S., 2023. Academic Community and Practitioner Perceptions on Information Technology Competencies: A Gap Analysis.WSEAS Transactions on Information Science and Applications,20, pp.333-343.'}, {'title': 'Vancouver', 'content': 'Tablatin CL. Academic Community and Practitioner Perceptions on Information Technology Competencies: A Gap Analysis. WSEAS Transactions on Information Science and Applications. 2023;20:333-43.'}]","… practitioners and highlight the skills gap between the perceptions of … preparedness and 
determining the skills gap. Based on the … of skill sets and that IT professionals must possess both …"
Information technology soft skills training,"K Stewart, MK Preiksaitis - CORALS'Journal of Applied …, 2023 - journal.coralsllc.com",https://journal.coralsllc.com/index.php/CJAR/article/view/13,"[{'title': 'MLA', 'content': 'Stewart, Kristy, and Michelle K. Preiksaitis. ""Information technology soft skills training.""CORALS\'Journal of Applied Research1.1 (2023).'}, {'title': 'APA', 'content': ""Stewart, K., & Preiksaitis, M. K. (2023). Information technology soft skills training.CORALS'Journal of Applied Research,1(1).""}, {'title': 'Chicago', 'content': 'Stewart, Kristy, and Michelle K. Preiksaitis. ""Information technology soft skills training.""CORALS\'Journal of Applied Research1, no. 1 (2023).'}, {'title': 'Harvard', 'content': ""Stewart, K. and Preiksaitis, M.K., 2023. Information technology soft skills training.CORALS'Journal of Applied Research,1(1).""}, {'title': 'Vancouver', 'content': ""Stewart K, Preiksaitis MK. Information technology soft skills training. CORALS'Journal of Applied Research. 2023 Sep 19;1(1).""}]","… ended interviews of 10 IT professionals provided data. Thematic … Effectively training IT 
professionals on soft skills may lead to … performance and the known skills gap of IT workers lacking …"
