,title,authors,url,citations,abstract
0,[PDF][PDF] Educating ICS Cybersecurity Professionals A comparative study of graduate level curricula & industry needs,SA Mikkelsplass - 2023 - hiof.brage.unit.no,https://hiof.brage.unit.no/hiof-xmlui/bitstream/handle/11250/3089711/Mikkelsplass_Stine%20Aurora.PDF?sequence=1,"[{'title': 'MLA', 'content': 'Mikkelsplass, Stine Aurora.Educating ICS Cybersecurity Professionals A comparative study of graduate level curricula & industry needs. MS thesis. 2023.'}, {'title': 'APA', 'content': ""Mikkelsplass, S. A. (2023).Educating ICS Cybersecurity Professionals A comparative study of graduate level curricula & industry needs(Master's thesis).""}, {'title': 'Chicago', 'content': 'Mikkelsplass, Stine Aurora. ""Educating ICS Cybersecurity Professionals A comparative study of graduate level curricula & industry needs."" Master\'s thesis, 2023.'}, {'title': 'Harvard', 'content': ""Mikkelsplass, S.A., 2023.Educating ICS Cybersecurity Professionals A comparative study of graduate level curricula & industry needs(Master's thesis).""}, {'title': 'Vancouver', 'content': ""Mikkelsplass SA.Educating ICS Cybersecurity Professionals A comparative study of graduate level curricula & industry needs(Master's thesis).""}]","… the importance of IT professionals in ICS security. Consequently, IT professionals are crucial 
… Although there is plenty of literature on the ICS cybersecurity skills gap (see section 2.3), no …"
1,[PDF][PDF] Mismatch in Academia and Industry: An Exploration of Perceived Graduate Competencies and Industry Expectations in Information Technology,"J Strain, J Marshall - Proceedings of the ISCAP Conference ISSN, 2023 - iscap.us",https://iscap.us/proceedings/2023/pdf/5962.pdf,"[{'title': 'MLA', 'content': 'Strain, Jeff, and Justin Marshall. ""Mismatch in Academia and Industry: An Exploration of Perceived Graduate Competencies and Industry Expectations in Information Technology.""Proceedings of the ISCAP Conference ISSN. Vol. 2473. 2023.'}, {'title': 'APA', 'content': 'Strain, J., & Marshall, J. (2023). Mismatch in Academia and Industry: An Exploration of Perceived Graduate Competencies and Industry Expectations in Information Technology. InProceedings of the ISCAP Conference ISSN(Vol. 2473, p. 4901).'}, {'title': 'Chicago', 'content': 'Strain, Jeff, and Justin Marshall. ""Mismatch in Academia and Industry: An Exploration of Perceived Graduate Competencies and Industry Expectations in Information Technology."" InProceedings of the ISCAP Conference ISSN, vol. 2473, p. 4901. 2023.'}, {'title': 'Harvard', 'content': 'Strain, J. and Marshall, J., 2023. Mismatch in Academia and Industry: An Exploration of Perceived Graduate Competencies and Industry Expectations in Information Technology. InProceedings of the ISCAP Conference ISSN(Vol. 2473, p. 4901).'}, {'title': 'Vancouver', 'content': 'Strain J, Marshall J. Mismatch in Academia and Industry: An Exploration of Perceived Graduate Competencies and Industry Expectations in Information Technology. InProceedings of the ISCAP Conference ISSN 2023 (Vol. 2473, p. 4901).'}]","… IT professionals when considering the competencies of graduates. To achieve this objective, 
a survey explores the perceived skills gap … at Cybersecurity compared to 13 IT professionals…"
2,An Investigation into the Cybersecurity Skills Gap in South Africa,"M De Jager, L Futcher, KL Thomson - International Symposium on Human …, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-38530-8_19,"[{'title': 'MLA', 'content': 'De Jager, Michael, Lynn Futcher, and Kerry-Lynn Thomson. ""An Investigation into the Cybersecurity Skills Gap in South Africa.""International Symposium on Human Aspects of Information Security and Assurance. Cham: Springer Nature Switzerland, 2023.'}, {'title': 'APA', 'content': 'De Jager, M., Futcher, L., & Thomson, K. L. (2023, July). An Investigation into the Cybersecurity Skills Gap in South Africa. InInternational Symposium on Human Aspects of Information Security and Assurance(pp. 237-248). Cham: Springer Nature Switzerland.'}, {'title': 'Chicago', 'content': 'De Jager, Michael, Lynn Futcher, and Kerry-Lynn Thomson. ""An Investigation into the Cybersecurity Skills Gap in South Africa."" InInternational Symposium on Human Aspects of Information Security and Assurance, pp. 237-248. Cham: Springer Nature Switzerland, 2023.'}, {'title': 'Harvard', 'content': 'De Jager, M., Futcher, L. and Thomson, K.L., 2023, July. An Investigation into the Cybersecurity Skills Gap in South Africa. InInternational Symposium on Human Aspects of Information Security and Assurance(pp. 237-248). Cham: Springer Nature Switzerland.'}, {'title': 'Vancouver', 'content': 'De Jager M, Futcher L, Thomson KL. An Investigation into the Cybersecurity Skills Gap in South Africa. InInternational Symposium on Human Aspects of Information Security and Assurance 2023 Jul 4 (pp. 237-248). Cham: Springer Nature Switzerland.'}]","… demand for IT professionals with the requisite cybersecurity skills … However, an ever- 
increasing cybersecurity skills gap has … of IT professionals, the cybersecurity skills gap remains a …"
3,The effect of skills gaps on an IT company's revenue,M Vepsäläinen - 2023 - lutpub.lut.fi,https://lutpub.lut.fi/handle/10024/165359,"[{'title': 'MLA', 'content': 'Vepsäläinen, Maria. ""The effect of skills gaps on an IT company’s revenue."" (2023).'}, {'title': 'APA', 'content': 'Vepsäläinen, M. (2023). The effect of skills gaps on an IT company’s revenue.'}, {'title': 'Chicago', 'content': 'Vepsäläinen, Maria. ""The effect of skills gaps on an IT company’s revenue."" (2023).'}, {'title': 'Harvard', 'content': 'Vepsäläinen, M., 2023. The effect of skills gaps on an IT company’s revenue.'}, {'title': 'Vancouver', 'content': 'Vepsäläinen M. The effect of skills gaps on an IT company’s revenue.'}]","… According to the findings, IT professionals are motivated mainly by their work’s nature, … 
This chapter discusses how the skills gap can be prevented and overcome. The chapter …"
4,Best Practices for Developing Cybersecurity Graduates for the Global Cybersecurity Workforce,E Ejikeme - 2023 - search.proquest.com,https://search.proquest.com/openview/d32746799d39aebb3f260d3fa663f727/1?pq-origsite=gscholar&cbl=18750&diss=y,"[{'title': 'APA', 'content': 'Ejikeme, E. (2023).Best Practices for Developing Cybersecurity Graduates for the Global Cybersecurity Workforce(Doctoral dissertation, University of Maryland University College).'}, {'title': 'ISO 690', 'content': 'EJIKEME, Emeka.Best Practices for Developing Cybersecurity Graduates for the Global Cybersecurity Workforce. 2023. Thèse de doctorat. University of Maryland University College.'}, {'title': 'MLA', 'content': 'Ejikeme, Emeka.Best Practices for Developing Cybersecurity Graduates for the Global Cybersecurity Workforce. Diss. University of Maryland University College, 2023.'}]","… relating to cybersecurity university graduates to cover the skills gap in the global cybersecurity 
… workforce professionals to cover the shortage and skills gap identified by this dissertation. …"
5,Enhancing a cybersecurity curriculum development tool with a competence framework to meet industry needs for cybersecurity,"AM Majanoja, A Hakkala - … of the 24th International Conference on …, 2023 - dl.acm.org",https://dl.acm.org/doi/abs/10.1145/3606305.3606325,"[{'title': 'APA', 'content': 'Majanoja, A. M., & Hakkala, A. (2023, June). Enhancing a cybersecurity curriculum development tool with a competence framework to meet industry needs for cybersecurity. InProceedings of the 24th International Conference on Computer Systems and Technologies(pp. 123-128).'}, {'title': 'ISO 690', 'content': 'MAJANOJA, Anne-Maarit et HAKKALA, Antti. Enhancing a cybersecurity curriculum development tool with a competence framework to meet industry needs for cybersecurity. In :Proceedings of the 24th International Conference on Computer Systems and Technologies. 2023. p. 123-128.'}, {'title': 'MLA', 'content': 'Majanoja, Anne-Maarit, and Antti Hakkala. ""Enhancing a cybersecurity curriculum development tool with a competence framework to meet industry needs for cybersecurity.""Proceedings of the 24th International Conference on Computer Systems and Technologies. 2023.'}]","… We asked 88 Finnish IT professionals working in software development and cybersecurity 
how … To reduce the skills gap, the use of competency models has been proposed [2] However, …"
6,Navigating the IT Professional Shortage with System Thinking: Practical Insights for Better Decision Making,"JA Parra-Valencia, L Calderón-Benavides… - … Complex Tasks with …, 2023 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-40635-5_10,"[{'title': 'MLA', 'content': 'Parra-Valencia, Jorge-Andrick, et al. ""Navigating the IT Professional Shortage with System Thinking: Practical Insights for Better Decision Making.""Managing Complex Tasks with Systems Thinking. Cham: Springer Nature Switzerland, 2023. 235-260.'}, {'title': 'APA', 'content': 'Parra-Valencia, J. A., Calderón-Benavides, L., Cabrera-Cruz, J. D., Sarmiento-Porras, R. E., & Arenas-Seleey, D. (2023). Navigating the IT Professional Shortage with System Thinking: Practical Insights for Better Decision Making. InManaging Complex Tasks with Systems Thinking(pp. 235-260). Cham: Springer Nature Switzerland.'}, {'title': 'Chicago', 'content': 'Parra-Valencia, Jorge-Andrick, Liliana Calderón-Benavides, José-Daniel Cabrera-Cruz, Román-Eduardo Sarmiento-Porras, and Daniel Arenas-Seleey. ""Navigating the IT Professional Shortage with System Thinking: Practical Insights for Better Decision Making."" InManaging Complex Tasks with Systems Thinking, pp. 235-260. Cham: Springer Nature Switzerland, 2023.'}, {'title': 'Harvard', 'content': 'Parra-Valencia, J.A., Calderón-Benavides, L., Cabrera-Cruz, J.D., Sarmiento-Porras, R.E. and Arenas-Seleey, D., 2023. Navigating the IT Professional Shortage with System Thinking: Practical Insights for Better Decision Making. InManaging Complex Tasks with Systems Thinking(pp. 235-260). Cham: Springer Nature Switzerland.'}, {'title': 'Vancouver', 'content': 'Parra-Valencia JA, Calderón-Benavides L, Cabrera-Cruz JD, Sarmiento-Porras RE, Arenas-Seleey D. Navigating the IT Professional Shortage with System Thinking: Practical Insights for Better Decision Making. InManaging Complex Tasks with Systems Thinking 2023 Nov 14 (pp. 235-260). Cham: Springer Nature Switzerland.'}]","… the supply and demand of IT professionals, such as education … contributing to the digital 
skills gap. Policymakers must invest … expertise in fields such as cybersecurity, cloud computing, …"
7,[PDF][PDF] Comparing cybersecurity skills and cybersecurity curricula: a pre and post COVID analysis.,"QE Booker, M Munmun - Issues in Information Systems, 2023 - iacis.org",https://www.iacis.org/iis/2023/2_iis_2023_320-333.pdf,"[{'title': 'MLA', 'content': 'Booker, Queen E., and Mousumi Munmun. ""Comparing cybersecurity skills and cybersecurity curricula: a pre and post COVID analysis.""Issues in Information Systems24.2 (2023).'}, {'title': 'APA', 'content': 'Booker, Q. E., & Munmun, M. (2023). Comparing cybersecurity skills and cybersecurity curricula: a pre and post COVID analysis.Issues in Information Systems,24(2).'}, {'title': 'Chicago', 'content': 'Booker, Queen E., and Mousumi Munmun. ""Comparing cybersecurity skills and cybersecurity curricula: a pre and post COVID analysis.""Issues in Information Systems24, no. 2 (2023).'}, {'title': 'Harvard', 'content': 'Booker, Q.E. and Munmun, M., 2023. Comparing cybersecurity skills and cybersecurity curricula: a pre and post COVID analysis.Issues in Information Systems,24(2).'}, {'title': 'Vancouver', 'content': 'Booker QE, Munmun M. Comparing cybersecurity skills and cybersecurity curricula: a pre and post COVID analysis. Issues in Information Systems. 2023 Apr 1;24(2).'}]","… cybersecurity threats highlight the need to close the gap between supply and demand for 
cybersecurity … are exacerbating the supply of cybersecurity professinals. According to the US …"
8,A study of female cybersecurity professionals.,"K Lingelbach - Issues in Information Systems, 2023 - search.ebscohost.com",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15297314&AN=172763723&h=1wDTgLCfuSoZkvviQEFEmUPlVvYmB8MCKGLA8uQR4rJgn1FuLqa3AsDhnlBpZqh07DVXr0Lja2QP99tYQNdGZw%3D%3D&crl=c,"[{'title': 'MLA', 'content': 'Lingelbach, Kembley. ""A study of female cybersecurity professionals.""Issues in Information Systems24.3 (2023).'}, {'title': 'APA', 'content': 'Lingelbach, K. (2023). A study of female cybersecurity professionals.Issues in Information Systems,24(3).'}, {'title': 'ISO 690', 'content': 'LINGELBACH, Kembley. A study of female cybersecurity professionals.Issues in Information Systems, 2023, 24. Jg., Nr. 3.'}]","… The intriguing discovery of the cybersecurity mindset … cybersecurity industry. Women now 
have a voice in suggesting ways to encourage other women to seek careers in cybersecurity as …"
9,A Survey Study: Evaluating Cybersecurity Workforce Gaps in Cloud Computing and the Internet of Things (IoT) by Evaluating Students' Learning Perception That Are …,E Wansi - 2023 - search.proquest.com,https://search.proquest.com/openview/a8cae6c466286ebb053cf00037789b75/1?pq-origsite=gscholar&cbl=18750&diss=y,"[{'title': 'APA', 'content': 'Wansi, E. (2023).A Survey Study: Evaluating Cybersecurity Workforce Gaps in Cloud Computing and the Internet of Things (IoT) by Evaluating Students’ Learning Perception That Are Pursuing Higher Education(Doctoral dissertation, Marymount University).'}, {'title': 'ISO 690', 'content': 'WANSI, Emmanuel.A Survey Study: Evaluating Cybersecurity Workforce Gaps in Cloud Computing and the Internet of Things (IoT) by Evaluating Students’ Learning Perception That Are Pursuing Higher Education. 2023. Thèse de doctorat. Marymount University.'}, {'title': 'MLA', 'content': 'Wansi, Emmanuel.A Survey Study: Evaluating Cybersecurity Workforce Gaps in Cloud Computing and the Internet of Things (IoT) by Evaluating Students’ Learning Perception That Are Pursuing Higher Education. Diss. Marymount University, 2023.'}]","… Furthermore, a lack of quantitative research examines cybersecurity workforce skills gap 
areas like hands-on experience or soft skills relative to students pursuing higher education. An …"
